hours_forecast,datetime,country,city,temp,temp_feels_like,weather,weather_description,pop,wind_speed_m_s,clouds_percentage,pressure_level,humidity_percentage
40,2024-03-31 09:00:00,IT,Milan,9.89,9.12,Clouds,broken clouds,0,1.93,70,1006,89
41,2024-03-31 10:00:00,IT,Milan,9.82,9.2,Rain,light rain,0.99,1.75,100,1007,92
42,2024-03-31 11:00:00,IT,Milan,9.58,8.22,Rain,light rain,1,2.65,100,1007,94
43,2024-03-31 12:00:00,IT,Milan,9.75,8.53,Rain,light rain,1,2.49,100,1008,95
44,2024-03-31 13:00:00,IT,Milan,9.98,8.64,Rain,light rain,1,2.74,100,1009,96
45,2024-03-31 14:00:00,IT,Milan,10.1,9.62,Rain,light rain,1,3.91,100,1009,94
46,2024-03-31 15:00:00,IT,Milan,10.46,9.96,Rain,light rain,1,4.56,100,1010,92
47,2024-03-31 16:00:00,IT,Milan,10.47,9.9,Clouds,overcast clouds,0.21,4.79,100,1009,89
48,2024-03-31 17:00:00,IT,Milan,11.14,10.45,Clouds,overcast clouds,0.02,4.48,100,1008,82
1,2024-03-29 17:00:00,IT,Bologna,19.2,19.03,Clouds,few clouds,0,3,20,1009,71
2,2024-03-29 18:00:00,IT,Bologna,18.69,18.57,Clear,clear sky,0,3.91,0,1009,75
3,2024-03-29 19:00:00,IT,Bologna,18.04,17.91,Clouds,few clouds,0,3.31,20,1009,77
4,2024-03-29 20:00:00,IT,Bologna,16.64,16.45,Clouds,scattered clouds,0,2.23,40,1009,80
5,2024-03-29 21:00:00,IT,Bologna,15.19,14.88,Clouds,broken clouds,0,1.17,60,1010,81
6,2024-03-29 22:00:00,IT,Bologna,13.26,12.86,Clouds,broken clouds,0,0.96,74,1011,85
7,2024-03-29 23:00:00,IT,Bologna,11.47,11.02,Clouds,overcast clouds,0,1.16,97,1012,90
8,2024-03-30 00:00:00,IT,Bologna,11.06,10.6,Clouds,overcast clouds,0,0.85,93,1011,91
9,2024-03-30 01:00:00,IT,Bologna,10.89,10.41,Clouds,overcast clouds,0,1.13,96,1011,91
10,2024-03-30 02:00:00,IT,Bologna,10.8,10.31,Clouds,overcast clouds,0,1.14,97,1011,91
11,2024-03-30 03:00:00,IT,Bologna,10.45,9.95,Clouds,overcast clouds,0,1.02,100,1010,92
12,2024-03-30 04:00:00,IT,Bologna,10.29,9.78,Clouds,overcast clouds,0,0.8,100,1010,92
13,2024-03-30 05:00:00,IT,Bologna,10.16,9.66,Clouds,overcast clouds,0,0.63,100,1010,93
14,2024-03-30 06:00:00,IT,Bologna,10.01,9.52,Clouds,overcast clouds,0,0.5,100,1010,94
15,2024-03-30 07:00:00,IT,Bologna,9.81,9.81,Clouds,overcast clouds,0,0.44,100,1009,95
16,2024-03-30 08:00:00,IT,Bologna,10.77,10.33,Clouds,overcast clouds,0,0.69,93,1009,93
17,2024-03-30 09:00:00,IT,Bologna,12.27,11.8,Clouds,overcast clouds,0,0.94,94,1009,86
18,2024-03-30 10:00:00,IT,Bologna,14.01,13.56,Clouds,broken clouds,0,2.29,77,1009,80
19,2024-03-30 11:00:00,IT,Bologna,15.79,15.33,Clouds,broken clouds,0,2.87,60,1008,73
20,2024-03-30 12:00:00,IT,Bologna,17.63,17.12,Clouds,broken clouds,0,3.25,69,1008,64
21,2024-03-30 13:00:00,IT,Bologna,19.13,18.59,Clouds,broken clouds,0,3.5,76,1007,57
22,2024-03-30 14:00:00,IT,Bologna,19.33,18.86,Clouds,broken clouds,0,4.83,80,1006,59
23,2024-03-30 15:00:00,IT,Bologna,18.36,18.08,Clouds,overcast clouds,0,5.01,100,1005,70
24,2024-03-30 16:00:00,IT,Bologna,18.01,17.77,Clouds,overcast clouds,0.25,4.2,100,1005,73
25,2024-03-30 17:00:00,IT,Bologna,17.53,17.3,Rain,light rain,0.54,4.65,100,1004,75
26,2024-03-30 18:00:00,IT,Bologna,16.16,15.97,Rain,light rain,0.57,4.76,100,1003,82
27,2024-03-30 19:00:00,IT,Bologna,14.3,14.11,Clouds,overcast clouds,0.52,3.19,100,1004,89
28,2024-03-30 20:00:00,IT,Bologna,12.93,12.73,Clouds,overcast clouds,0.46,2.86,100,1004,94
29,2024-03-30 21:00:00,IT,Bologna,12.43,12.24,Clouds,overcast clouds,0,2.59,100,1004,96
30,2024-03-30 22:00:00,IT,Bologna,12.33,12.1,Clouds,overcast clouds,0,3.21,100,1002,95
31,2024-03-30 23:00:00,IT,Bologna,12.59,12.36,Rain,light rain,0.27,1.27,100,1003,94
32,2024-03-31 00:00:00,IT,Bologna,12.9,12.67,Rain,moderate rain,1,2.92,100,1004,93
33,2024-03-31 01:00:00,IT,Bologna,12.26,11.84,Rain,light rain,1,3.02,100,1005,88
34,2024-03-31 02:00:00,IT,Bologna,11.23,10.73,Clouds,overcast clouds,0.8,0.89,95,1005,89
35,2024-03-31 04:00:00,IT,Bologna,10.99,10.47,Clouds,few clouds,0,2.84,15,1005,89
36,2024-03-31 05:00:00,IT,Bologna,10.64,10.01,Clouds,few clouds,0,2.54,18,1005,86
37,2024-03-31 06:00:00,IT,Bologna,10.35,9.66,Clouds,scattered clouds,0,3.25,45,1005,85
38,2024-03-31 07:00:00,IT,Bologna,10.12,9.46,Clouds,broken clouds,0,3.1,59,1006,87
39,2024-03-31 08:00:00,IT,Bologna,9.87,8.82,Clouds,broken clouds,0,2.28,67,1006,88
40,2024-03-31 09:00:00,IT,Bologna,11.02,10.42,Clouds,broken clouds,0,1.26,72,1007,86
41,2024-03-31 10:00:00,IT,Bologna,12.18,11.62,Clouds,overcast clouds,0,0.83,100,1008,83
42,2024-03-31 11:00:00,IT,Bologna,13.16,12.62,Clouds,overcast clouds,0,0.31,100,1008,80
43,2024-03-31 12:00:00,IT,Bologna,13.74,13.18,Rain,light rain,0.22,0.37,100,1009,77
44,2024-03-31 13:00:00,IT,Bologna,13.12,12.63,Clouds,overcast clouds,0.03,1.7,100,1009,82
45,2024-03-31 14:00:00,IT,Bologna,17.14,16.45,Clouds,overcast clouds,0,2.46,97,1009,59
46,2024-03-31 15:00:00,IT,Bologna,18.65,18.01,Clouds,overcast clouds,0,2.07,94,1008,55
47,2024-03-31 16:00:00,IT,Bologna,18.95,18.36,Rain,light rain,1,1.38,52,1008,56
48,2024-03-31 17:00:00,IT,Bologna,19.08,18.51,Rain,light rain,1,2.22,77,1007,56
1,2024-03-29 17:00:00,IT,Cagliari,19.54,18.99,Clouds,few clouds,0,5.81,14,1007,55
2,2024-03-29 18:00:00,IT,Cagliari,20,19.47,Clear,clear sky,0,5.26,0,1007,54
3,2024-03-29 19:00:00,IT,Cagliari,19.3,18.8,Clear,clear sky,0,4.84,8,1007,58
4,2024-03-29 20:00:00,IT,Cagliari,18.28,17.76,Clouds,few clouds,0,4.07,18,1007,61
